,Time,Calories,HR,Temperature,Steps
0,2015-05-20 19:00:00,1.5548362277423031,76.16388217190591,89.2003517256547,5.429654869202023
0,2015-05-27 19:00:00,1.7371974654616629,76.92147086319726,90.1638205048288,7.200477822790069
0,2015-06-03 19:00:00,1.8556653288051441,76.91694967582588,90.17573325100221,7.50432232170423
0,2015-06-10 19:00:00,1.7301761119891292,74.8885752991646,89.70465116279173,6.962519756152631
0,2015-06-17 19:00:00,1.7299196373376855,83.84566247681846,90.67506696888366,7.409128374201525
0,2015-06-24 19:00:00,1.660479298170485,77.32716379587033,90.53495239114064,6.160479298170536
0,2015-07-01 19:00:00,1.6583975181856307,84.51486949080017,91.41424903722803,7.590607616602481
0,2015-07-08 19:00:00,1.7814424381587786,77.8632710573009,89.3973802317092,9.733535121594823
0,2015-07-15 19:00:00,2.197647179698005,78.1807253673071,90.35537860885528,8.88410562005548
0,2015-07-22 19:00:00,1.9069632706602477,80.17326191517272,89.38946217752441,6.514757324005247
0,2015-07-29 19:00:00,1.7498954849497834,79.46655518394648,90.31055602006715,6.137646321070235
0,2015-08-05 19:00:00,1.846856087803877,77.35552364345061,89.94628166991525,7.057031490409273
0,2015-08-12 19:00:00,1.968246786632371,75.81583547557841,90.31083804627448,6.594241645244216
0,2015-08-19 19:00:00,2.0189852531711234,78.66082293492833,89.25241827369351,7.247602351242652
0,2015-08-26 19:00:00,2.140522659609647,78.86558606241042,89.7668210387034,8.148638218105635
0,2015-09-02 19:00:00,2.172881540302417,79.61579462634613,89.76760578701308,10.848362884803654
0,2015-09-09 19:00:00,2.0025735681890096,77.73990085434026,89.91762472313093,7.325282143233836
0,2015-09-16 19:00:00,2.2032381997804626,81.86498353457739,89.94132821075688,10.705049396267837
0,2015-09-23 19:00:00,1.7971116479360885,80.92532297027623,89.0497531771866,6.41161642684592
0,2015-09-30 19:00:00,2.3402634829148745,81.73373816385343,89.52515438452117,11.362597776862907
0,2015-10-07 19:00:00,2.228227498619617,79.81800110436222,89.88297073440093,7.8399779127553835
0,2015-10-14 19:00:00,2.0325698438783992,79.97822514379622,88.7044371405097,7.868118323746919
0,2015-10-21 19:00:00,1.9724435660043482,78.16009570373453,88.56340372412258,7.520961198377197
0,2015-10-28 19:00:00,1.9900308959835322,79.30597322348095,89.04025746653035,7.385581874356333
0,2015-11-04 19:00:00,2.0656246754595435,80.06729670786167,88.16704746079398,8.46827292553744
0,2015-11-11 19:00:00,1.927277416692443,79.36438667079335,88.60389972144785,7.137728257505416
0,2015-11-18 19:00:00,2.0540000000000096,81.24840425531914,88.72144680851211,7.687765957446809
0,2015-11-25 19:00:00,2.0616707616707846,79.94082719082719,88.17352579852508,9.752764127764127
0,2015-12-02 19:00:00,1.8578838816128496,80.9696813447458,89.44119830875471,5.509745282045993
0,2015-12-09 19:00:00,2.7361999576361953,83.6383181529337,88.65786909553066,11.065028595636518
0,2015-12-16 19:00:00,1.9614040529362422,80.73955748552522,88.27112282878468,6.8439826302729525
0,2015-12-23 19:00:00,1.812521864389396,78.12923140240765,89.37960695544885,8.17738450457866
0,2015-12-30 19:00:00,1.9186694604505226,78.69617600838136,89.16975379780047,7.881194342587742
0,2016-01-06 19:00:00,1.8536416304573018,81.02658804055451,88.81014897579152,7.479929650320711
0,2016-01-13 19:00:00,2.1605369965656864,86.20928296388801,88.34024352169861,8.863877614736184
0,2016-01-20 19:00:00,2.0830718071286993,84.18964979736049,88.28343551906859,7.696040735737296
0,2016-01-27 19:00:00,2.0618017268282642,82.06002288567565,88.73258088005977,7.7681264953708515
0,2016-02-03 19:00:00,1.9573180161272656,83.76482933834089,89.07081630398669,6.328509886225561
0,2016-02-10 19:00:00,2.75461715412407,82.65954650016431,88.74623726585611,9.945996275605214
0,2016-02-17 19:00:00,1.960558940953999,82.77390208026897,88.13019541920676,7.485816347972263
0,2016-02-24 19:00:00,2.1612328619237946,83.02364244845083,89.21514628090497,5.6795854474792185
0,2016-03-02 19:00:00,2.0553129849974394,82.11950336264873,88.16633212622894,7.554992240041386
0,2016-03-09 19:00:00,2.237222747818723,82.45905602859246,88.57218543046429,5.952801429622622
0,2016-03-16 19:00:00,2.543494152046638,81.05033416875523,89.21137218045168,7.546261487050961
